source, relation, target, fact, superseded
"Investigation Workflow Definition Spec", "HAS_OPTION", "24-hour remediation SLA", "One option for the investigation handoff pattern is a single end-to-end workflow with one escalation path.", FALSE
"queue owner", "HAS", "24-hour remediation SLA", "The remediation queue owner has an SLA that is still open and should be locked before more cases start landing.", FALSE
"intake", "CONTRIBUTES_TO", "CDD records", "Bad source data contributes to failed CDD cases.", FALSE
"intake", "CONTRIBUTES_TO", "CDD records", "Process drift contributes to failed CDD cases.", FALSE
"Risk: Inconsistent KYC Records", "HAS_INCONSISTENT_RECORDS", "CDD records", "The KYC risk phase has inconsistent records across the CDD pipeline.", FALSE
"Legal/Risk", "REVIEW", "CDD records", "Tech must review customer profiles to understand where KYC mismatches are coming from.", FALSE
"Data Engineering", "REVIEW", "CDD records", "Data Engineering must review customer profiles to understand where KYC mismatches are coming from.", FALSE
"Risk: Inconsistent KYC Records", "CAUSES", "CDD records", "Inconsistent KYC records are causing CDD gaps.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "REQUIRES_INPUT_FROM", "Case-Design", "The Investigation Workflow Definition requires input from Case-Design on whether threshold changes affect routing, evidence capture, and downstream compliance timing.", FALSE
"engineering", "INCLUDES_IN", "Client Services", "engineering includes retrieval path in the row-level matrix.", FALSE
"Model Risk", "CONFIRMS", "Client Services", "Operations confirms the exact allowed values by Friday.", TRUE
"Detected", "REQUIRES_LOCKED_LINEAGE_EXCEPTIONS", "Client Services", "For AML, lineage exceptions must be locked before build to prevent destabilization of alert volumes, model stability, and case workload.", FALSE
"edge cases", "RECORDED_BY", "Data Engineering", "Record swaps are recorded by DE.", FALSE
"feature scope", "RECORDS", "Data Engineering", "DE records source-system lineage.", FALSE
"edge cases", "REQUIRES_APPROVAL_FROM", "Data Engineering", "A feature swap requires approval from DE.", FALSE
"Detected", "OWNED_BY", "Data Engineering", "The high-risk segment cutoff is owned by DE.", FALSE
"effective date", "STORED_IN", "Data Quality", "The effective date is stored only in the decision log, not in the build fields.", FALSE
"onboarding breakpoints", "REQUIRES", "Data Quality", "Onboarding as source of truth requires overrides to have evidence, timestamp, and approver ID.", FALSE
"exception trail", "TAGGED_BY", "DataOwner", "DataOwner is responsible for tagging the exception trail.", FALSE
"expiry date", "ALIGNS_WITH", "DataOwner", "In Regulatory Compliance Program, owner + expiry + review-date was the difference between a real control and permanent drift—aligns cleanly with ISO 31000 control accountability.", FALSE
"Model Risk", "CONFIRMS", "DataOwner", "Operations confirms the evidence capture by Friday.", TRUE
"newer transaction patterns", "CAN_REACH", "Detected", "By ranking patterns, we can get to Detected faster without pretending coverage is complete.", FALSE
"engineering", "INCLUDED_IN", "Friday", "provisional flag is included in the must-gap freeze.", FALSE
"jurisdictions", "INCLUDED_IN", "Friday", "jurisdiction is included in the must-gap freeze.", FALSE
"engineering", "REQUIRED_FOR", "Friday", "reason for provisional is required for the must-gap freeze.", FALSE
"exclusion handling", "INCLUDED_IN", "Friday", "rule impact is included in the must-gap freeze.", FALSE
"Risk: Inconsistent KYC Records", "RELIES_ON_SPEC", "Incomplete Regulatory Coverage", "The KYC risk phase relies on the risk:_incomplete_regulatory_coverage_spec for defining regulatory coverage gaps.", FALSE
"hold state", "REFERS_TO", "Incomplete Regulatory Coverage", "The hold-state duration must be explicitly defined in the risk: incomplete regulatory coverage specification on SharePoint.", FALSE
"blocker flags", "REFERS_TO", "Incomplete Regulatory Coverage", "Blocker type should be added to the risk: incomplete regulatory coverage specification on SharePoint.", FALSE
"unmapped values", "REFERS_TO", "Incomplete Regulatory Coverage", "Unmapped cases should be addressed in the risk: incomplete regulatory coverage specification on SharePoint.", FALSE
"cutoff approval", "REFERS_TO", "Incomplete Regulatory Coverage", "The cutoff owner must be confirmed in the risk: incomplete regulatory coverage specification on SharePoint by EOD.", FALSE
"Legal/Risk", "SANITY_CHECKS", "Incomplete Regulatory Coverage", "Legal is requested to sanity-check the regulatory coverage gap against the spec.", FALSE
"Investigations", "SANITY_CHECKS", "Incomplete Regulatory Coverage", "Investigations is requested to sanity-check the regulatory coverage gap against the spec.", FALSE
"Rules Config", "SANITY_CHECKS", "Incomplete Regulatory Coverage", "Rules Config is requested to sanity-check the regulatory coverage gap against the spec.", FALSE
"Data Quality", "SANITY_CHECKS", "Incomplete Regulatory Coverage", "Data Quality is requested to sanity-check the regulatory coverage gap against the spec.", FALSE
"Legal/Risk", "FOCUSES_ON", "Incomplete Regulatory Coverage", "Legal/Risk focuses only on the truly messy gaps, specifically the 'true regulatory gaps' bucket.", FALSE
"full rule-to-jurisdiction mapping", "PREVENTS", "Incomplete Regulatory Coverage", "Full rule-to-jurisdiction mapping prevents missed regulatory coverage.", FALSE
"Legal/Risk", "TAGS", "Incomplete Regulatory Coverage", "Legal tags critical items in risk:_incomplete_regulatory_coverage_spec.", FALSE
"engineering", "USES", "Incomplete Regulatory Coverage", "Engineering uses the risk: incomplete regulatory coverage spec as the working reference.", FALSE
"Data Engineering", "WEIGHS_IN_ON", "Incomplete Regulatory Coverage", "Technology will weigh in on the risk:incomplete_regulatory_coverage_spec document by EOD Friday.", TRUE
"engineering", "CONFIRMS_BUILD_HAS_FIXED_FIELDS", "Investigation Workflow Definition Spec", "engineering will confirm whether the build has fixed owner, timestamp, reason, and before/after values by Friday.", TRUE
"Data Engineering", "REVIEWS", "Investigation Workflow Definition Spec", "Data Engineering is reviewing the investigation_workflow_definition_spec.", FALSE
"Data Engineering", "UPDATES", "Investigation Workflow Definition Spec", "Data Engineering is updating the investigation_workflow_definition_spec.", FALSE
"first pass", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "Triage priority requires a decision in the investigation workflow definition spec.", FALSE
"sla hooks", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "SLA timing requires a decision in the investigation workflow definition spec.", FALSE
"evidence fields", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "Case evidence storage requires a decision in the investigation workflow definition spec.", FALSE
"evidence fields", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "A backup role for absences requires a decision in the investigation workflow definition spec.", FALSE
"escalation points", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "Escalation triggers require a decision in the investigation workflow definition spec.", FALSE
"evidence fields", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "Evidence log update requires a decision in the investigation workflow definition spec.", FALSE
"evidence fields", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "Required audit fields require a decision in the investigation workflow definition spec.", FALSE
"case routing and escalation owners", "REQUIRES_DECISION_ON", "Investigation Workflow Definition Spec", "Leadership ownership requires a decision on triage priority, escalation triggers, and case evidence storage in the investigation workflow definition spec.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "HAS_SPECIFICATION", "Investigation Workflow Definition Spec", "The Investigation Workflow Definition has a specification document at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"SAR Reporting Requirements", "VALIDATES_AGAINST", "Investigation Workflow Definition Spec", "SAR Reporting Requirements validates against automated outputs.", FALSE
"SAR Reporting Requirements", "REQUIRES", "Investigation Workflow Definition Spec", "SAR Reporting Requirements requires field-level source definitions.", FALSE
"case routing and escalation owners", "REFERS_TO", "Investigation Workflow Definition Spec", "The case routing and escalation owners are too vague in the Investigation Workflow Definition Spec.", FALSE
"engineering", "TAGS", "Investigations", "engineering tags the remediation date on every open row.", FALSE
"Data Engineering", "HAS", "Investigations", "Data Engineering will confirm the record location in SharePoint by Friday.", TRUE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "CONTAINS_SPECIFICATION_FOR", "Legal/Risk", "The specification at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec contains the workflow requirements for investigation workflow definition.", FALSE
"temporary control outside the model", "REQUIRES_APPROVAL_FROM", "Legal/Risk", "A temporary control requires approval from Legal/Risk.", FALSE
"Model Risk", "CONFIRMS", "Legal/Risk", "Operations confirms the taxonomy by Friday.", TRUE
"data gaps", "HAS", "Model Feature Engineering", "Model Feature Engineering has data gaps that need to be confirmed by Friday.", TRUE
"policy constraints", "HAS", "Model Feature Engineering", "Model Feature Engineering has policy constraints that need to be confirmed by Friday.", TRUE
"segment caveats", "HAS", "Model Feature Engineering", "Model Feature Engineering has segment caveats that need to be confirmed by Friday.", TRUE
"http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "CONTAINS_SPECIFICATION_FOR", "Model Feature Engineering", "The specification at http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec contains the feature engineering requirements for Model Feature Engineering.", FALSE
"feature scope", "RECORDS", "Model Risk", "Model Risk records source-system lineage.", TRUE
"exception trail", "REQUIRES", "Model Risk", "The SharePoint trail requires Model Risk approval for typology-update exceptions.", FALSE
"owner", "OWNED_BY", "Model Risk", "The exclusion log is owned by Model Risk.", FALSE
"edge cases", "SIGNED_OFF_BY", "Model Risk", "Record swaps are signed off by Model Risk.", FALSE
"edge cases", "REQUIRES_APPROVAL_FROM", "Model Risk", "A feature swap requires approval from Model Risk.", FALSE
